crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,black,lstat,medv
0.16439,22,5.86,0,0.431,6,49.1,8,7,330,19.1,374.71,9.52,24.5
0.19073,22,5.86,0,0.431,7,17.5,8,7,330,19.1,393.74,6.56,26.2
0.1403,22,5.86,0,0.431,6,13,7,7,330,19.1,396.28,5.9,24.4
0.21409,22,5.86,0,0.431,6,8.9,7,7,330,19.1,377.07,3.59,24.8
0.08221,22,5.86,0,0.431,7,6.8,9,7,330,19.1,386.09,3.53,29.6
0.36894,22,5.86,0,0.431,8,8.4,9,7,330,19.1,396.9,3.54,42.8
0.04819,80,3.64,0,0.392,6,32,9,1,315,16.4,392.89,6.57,21.9
0.03548,80,3.64,0,0.392,6,19.1,9,1,315,16.4,395.18,9.25,20.9
0.01538,90,3.75,0,0.394,7,34.2,6,3,244,15.9,386.34,3.11,44
0.61154,20,3.97,0,0.647,9,86.9,2,5,264,13,389.7,5.12,50
0.66351,20,3.97,0,0.647,7,100,2,5,264,13,383.29,7.79,36
0.65665,20,3.97,0,0.647,7,100,2,5,264,13,391.93,6.9,30.1
0.54011,20,3.97,0,0.647,7,81.8,2,5,264,13,392.8,9.59,33.8
0.53412,20,3.97,0,0.647,7.52,89.4,2,5,264,13,388.37,7.26,43.1
0.52014,20,3.97,0,0.647,8,91.5,2,5,264,13,386.86,5.91,48.8
0.82526,20,3.97,0,0.647,7,94.5,2,5,264,13,393.42,11.25,31
0.55007,20,3.97,0,0.647,7,91.6,2,5,264,13,387.89,8.1,36.5
0.76162,20,3.97,0,0.647,5.56,62.8,2,5,264,13,392.4,10.45,22.8
0.7857,20,3.97,0,0.647,7,84.6,2,5,264,13,384.07,14.79,30.7
0.57834,20,3.97,0,0.575,8,67,2,5,264,13,384.54,7.44,50
0.5405,20,3.97,0,0.575,7.47,52.6,3,5,264,13,390.3,3.16,43.5
0.09065,20,6.96,1,0.464,5.92,61.5,4,3,223,18.6,391.34,13.65,20.7
0.29916,20,6.96,0,0.464,6,42.1,4,3,223,18.6,388.65,13,21.1
0.16211,20,6.96,0,0.464,6.24,16.3,4,3,223,18.6,396.9,6.59,25.2
0.1146,20,6.96,0,0.464,7,58.7,4,3,223,18.6,394.96,7.73,24.4
0.22188,20,6.96,1,0.464,8,51.8,4,3,223,18.6,390.77,6.58,35.2
0.05644,40,6.41,1,0.447,7,32.9,4,4,254,17.6,396.9,3.53,32.4
0.09604,40,6.41,0,0.447,7,42.8,4,4,254,17.6,396.9,2.98,32
0.10469,40,6.41,1,0.447,7,49,5,4,254,17.6,389.25,6.05,33.2
0.06127,40,6.41,1,0.447,7,27.6,5,4,254,17.6,393.45,4.16,33.1
0.07978,40,6.41,0,0.447,6,32.1,4,4,254,17.6,396.9,7.19,29.1
0.21038,20,3.33,0,0.4429,7,32.2,4,5,216,14.9,396.9,4.85,35.1
0.03578,20,3.33,0,0.4429,7.82,64.5,5,5,216,14.9,387.31,3.76,45.4
0.03705,20,3.33,0,0.4429,7,37.2,5,5,216,14.9,392.23,4.59,35.4
0.06129,20,3.33,1,0.4429,8,49.7,5,5,216,14.9,377.07,3.01,46
0.01501,90,1.21,1,0.401,8,24.8,6,1,198,13.6,395.52,3.16,50
0.00906,90,2.97,0,0.4,7,20.8,7,1,285,15.3,394.72,7.85,32.2
0.01096,55,2.25,0,0.389,6,31.9,7,1,300,15.3,394.72,8.23,22
0.01965,80,1.76,0,0.385,6.23,31.5,9,1,241,18.2,341.6,12.93,20.1
0.03871,52.5,5.32,0,0.405,6,31.3,7,6,293,16.6,396.9,7.14,23.2
0.0459,52.5,5.32,0,0.405,6,45.6,7,6,293,16.6,396.9,7.6,22.3
0.04297,52.5,5.32,0,0.405,7,22.9,7,6,293,16.6,371.72,9.51,24.8
0.03502,80,4.95,0,0.411,7,27.9,5,4,245,19.2,396.9,3.33,28.5
0.07886,80,4.95,0,0.411,7,27.7,5,4,245,19.2,396.9,3.56,37.3
0.03615,80,4.95,0,0.411,6.63,23.4,5,4,245,19.2,396.9,4.7,27.9
0.08265,0,13.92,0,0.437,6,18.4,6,4,289,16,396.9,8.58,23.9
0.08199,0,13.92,0,0.437,6,42.3,6,4,289,16,396.9,10.4,21.7
0.12932,0,13.92,0,0.437,7,31.1,6,4,289,16,396.9,6.27,28.6
0.05372,0,13.92,0,0.437,7,51,6,4,289,16,392.85,7.39,27.1
0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,396.9,15.84,20.3
0.06466,70,2.24,0,0.4,6,20.1,8,5,358,14.8,368.24,4.97,22.5
0.05561,70,2.24,0,0.4,7,10,8,5,358,14.8,371.58,4.74,29
0.04417,70,2.24,0,0.4,7,47.4,8,5,358,14.8,390.86,6.07,24.8
0.03537,34,6.09,0,0.433,6.59,40.4,5,7,329,16.1,395.75,9.5,22
0.09266,34,6.09,0,0.433,6,18.4,5,7,329,16.1,383.61,8.67,26.4
0.1,34,6.09,0,0.433,7,17.7,5,7,329,16.1,390.43,4.86,33.1
0.05515,33,2.18,0,0.472,7,41.1,4,7,222,18.4,393.68,6.93,36.1
0.05479,33,2.18,0,0.472,7,58.1,3.37,7,222,18.4,393.36,8.93,28.4
0.07503,33,2.18,0,0.472,7.42,71.9,3,7,222,18.4,396.9,6.47,33.4
0.04932,33,2.18,0,0.472,7,70.3,3,7,222,18.4,396.9,7.53,28.2
0.49298,0,9.9,0,0.544,7,82.5,3,4,304,18.4,396.9,4.54,22.8
0.3494,0,9.9,0,0.544,6,76.7,3,4,304,18.4,396.24,9.97,20.3
3,0,9.9,0,0.544,5,37.8,3,4,304,18.4,350.45,12.64,16.1
0.79041,0,9.9,0,0.544,6,52.8,3,4,304,18.4,396.9,5.98,22.1
0.26169,0,9.9,0,0.544,6,90.4,3,4,304,18.4,396.3,11.72,19.4
0.26938,0,9.9,0,0.544,6,82.8,3,4,304,18.4,393.39,7.9,21.6
0.3692,0,9.9,0,0.544,7,87.3,4,4,304,18.4,395.69,9.28,23.8
0.25356,0,9.9,0,0.544,6,77.7,4,4,304,18.4,396.42,11.5,16.2
0.31827,0,9.9,0,0.544,6,83.2,4,4,304,18.4,390.7,18.33,17.8
0.24522,0,9.9,0,0.544,6,71.7,4,4,304,18.4,396.9,15.94,19.8
0.40202,0,9.9,0,0.544,6,67.2,4,4,304,18.4,395.21,10.36,23.1
0.47547,0,9.9,0,0.544,6,58.8,4,4,304,18.4,396.23,12.73,21
0.1676,0,7.38,0,0.493,6,52.3,5,5,287,19.6,396.9,7.2,23.8
0.18159,0,7.38,0,0.493,6,54.3,5,5,287,19.6,396.9,6.87,23.1
0.35114,0,7.38,0,0.493,6,49.9,5,5,287,19.6,396.9,7.7,20.4
0.28392,0,7.38,0,0.493,6,74.3,5,5,287,19.6,391.13,11.74,18.5
0.34109,0,7.38,0,0.493,6,40.1,5,5,287,19.6,396.9,6.12,25
0.19186,0,7.38,0,0.493,6,14.7,5,5,287,19.6,393.68,5.08,24.6
0.30347,0,7.38,0,0.493,6,28.9,5,5,287,19.6,396.9,6.15,23
0.24103,0,7.38,0,0.493,6,43.7,5,5,287,19.6,396.9,12.79,22.2
0.06617,0,3.24,0,0.46,6,25.8,5,4,430,16.9,382.44,9.97,19.3
0.06724,0,3.24,0,0.46,6,17.2,5,4,430,16.9,375.21,7.34,22.6
0.04544,0,3.24,0,0.46,6,32.2,6,4,430,16.9,368.57,9.09,19.8
0.05023,35,6.06,0,0.4379,6,28.4,7,1,304,16.9,394.02,12.43,17.1
0.03466,35,6.06,0,0.4379,6,23.3,7,1,304,16.9,362.25,7.83,19.4
0.05083,0,5.19,0,0.515,6,38.1,6,5,224,20.2,389.71,5.68,22.2
0.03738,0,5.19,0,0.515,6.31,38.5,6,5,224,20.2,389.4,6.75,20.7
0.03961,0,5.19,0,0.515,6,34.5,6,5,224,20.2,396.9,8.01,21.1
0.03427,0,5.19,0,0.515,6,46.3,5,5,224,20.2,396.9,9.8,19.5
0.03041,0,5.19,0,0.515,6,59.6,6,5,224,20.2,394.81,10.56,18.5
0.03306,0,5.19,0,0.515,6,37.3,5,5,224,20.2,396.14,8.51,20.6
0.05497,0,5.19,0,0.515,6,45.4,5,5,224,20.2,396.9,9.74,19
0.06151,0,5.19,0,0.515,6,58.5,5,5,224,20.2,396.9,9.29,18.7
0.01301,35,1.52,0,0.442,7,49.3,7,1,284,15.5,394.74,5.49,32.7
0.02498,0,1.89,0,0.518,6.54,59.7,6,1,422,15.9,389.96,8.65,16.5
0.02543,55,3.78,0,0.484,7,56.4,6,5,370,17.6,396.9,7.18,23.9
0.03049,55,3.78,0,0.484,7,28.1,6,5,370,17.6,387.97,4.61,31.2
0.03113,0,4.39,0,0.442,6,48.5,8,3,352,18.8,385.64,10.53,17.5
0.06162,0,4.39,0,0.442,6,52.3,8,3,352,18.8,364.61,12.67,17.2
0.0187,85,4.15,0,0.429,7,27.7,9,4,351,17.9,392.43,6.36,23.1
0.01501,80,2.01,0,0.435,7,29.7,8,4,280,17,390.94,5.99,24.5
0.02899,40,1.25,0,0.429,7,34.5,9,1,335,19.7,389.85,5.89,26.6
0.06211,40,1.25,0,0.429,6.49,44.4,9,1,335,19.7,396.9,5.98,22.9
0.0795,60,1.69,0,0.411,7,35.9,11,4,411,18.3,370.78,5.49,24.1
0.07244,60,1.69,0,0.411,6,18.5,11,4,411,18.3,392.33,7.79,18.6
0.01709,90,2.02,0,0.41,7,36.1,12,5,187,17,384.46,4.5,30.1
0.04301,80,1.91,0,0.413,6,21.9,11,4,334,22,382.8,8.05,18.2
0.10659,80,1.91,0,0.413,6,19.5,11,4,334,22,376.04,5.57,20.6
9,0,18.1,1,0.77,6,97.4,2,24,666,20.2,377.73,17.6,17.8
4,0,18.1,1,0.77,6,91,3,24,666,20.2,391.34,13.27,21.7
5,0,18.1,1,0.77,6,83.4,3,24,666,20.2,395.43,11.48,22.7
4,0,18.1,0,0.77,6,81.3,3,24,666,20.2,390.74,12.67,22.6
5,0,18.1,0,0.77,6,88,3,24,666,20.2,374.56,7.79,25
4,0,18.1,0,0.77,6,91.1,2,24,666,20.2,350.65,14.19,19.9
4,0,18.1,0,0.77,5,96.2,2,24,666,20.2,380.79,10.19,20.8
4,0,18.1,1,0.77,6,89,2,24,666,20.2,353.04,14.64,16.8
3,0,18.1,1,0.718,8.78,82.9,2,24,666,20.2,354.55,5.29,21.9
5,0,18.1,0,0.718,4,87.9,2,24,666,20.2,354.7,7.12,27.5
4,0,18.1,0,0.718,5,91.4,2,24,666,20.2,316.03,14,21.9
14,0,18.1,0,0.631,4,100,2,24,666,20.2,131.42,13.33,23.1
5,0,18.1,0,0.631,4.97,100,1,24,666,20.2,375.52,3.26,50
6,0,18.1,1,0.631,7,96.8,1,24,666,20.2,375.33,3.73,50
7,0,18.1,1,0.631,7,97.5,1,24,666,20.2,392.05,2.96,50
9,0,18.1,0,0.631,6,100,1,24,666,20.2,366.15,9.53,50
8,0,18.1,1,0.668,6,89.6,1,24,666,20.2,347.88,8.88,50
11,0,18.1,0,0.668,5,100,1,24,666,20.2,396.9,34.77,13.8
18,0,18.1,0,0.668,4,100,1,24,666,20.2,396.9,37.97,13.8
20,0,18.1,0,0.671,7,97.9,1,24,666,20.2,396.9,13.44,15
15,0,18.1,0,0.671,7,93.3,1,24,666,20.2,363.02,23.24,13.9
10,0,18.1,0,0.671,7,98.8,1,24,666,20.2,396.9,21.24,13.3
24,0,18.1,0,0.671,6.38,96.2,1,24,666,20.2,396.9,23.69,13.1
18,0,18.1,0,0.671,6,100,1,24,666,20.2,393.74,21.78,10.2
89,0,18.1,0,0.671,7,91.9,1,24,666,20.2,396.9,17.21,10.4
16,0,18.1,0,0.671,7,99.1,2,24,666,20.2,396.9,21.08,10.9
9,0,18.1,0,0.7,6,100,2,24,666,20.2,396.9,23.6,11.3
8,0,18.1,0,0.7,5.52,100,2,24,666,20.2,396.9,24.56,12.3
20,0,18.1,0,0.7,4,91.2,1,24,666,20.2,285.83,30.63,8.8
17,0,18.1,0,0.7,5,98.1,1,24,666,20.2,396.9,30.81,7.2
24,0,18.1,0,0.7,5,100,1,24,666,20.2,396.9,28.28,10.5
23,0,18.1,0,0.7,5,89.5,2,24,666,20.2,396.9,31.99,7.4
14,0,18.1,0,0.7,4.88,100,2,24,666,20.2,372.92,30.62,10.2
8,0,18.1,0,0.7,5.39,98.9,2,24,666,20.2,396.9,20.85,11.5
7,0,18.1,0,0.7,6,97,2,24,666,20.2,394.43,17.11,15.1
5,0,18.1,0,0.7,6,82.5,2,24,666,20.2,378.38,18.76,23.2
12,0,18.1,0,0.7,5,97,1.77,24,666,20.2,396.9,25.68,9.7
9,0,18.1,0,0.693,6,92.6,2,24,666,20.2,396.9,15.17,13.8
13,0,18.1,0,0.693,6,94.7,2,24,666,20.2,396.9,16.35,12.7
9,0,18.1,0,0.693,6,98.8,2,24,666,20.2,391.98,17.12,13.1
6,0,18.1,0,0.693,6,96,2,24,666,20.2,396.9,19.37,12.5
8,0,18.1,0,0.693,6,98.9,2,24,666,20.2,393.1,19.92,8.5
38,0,18.1,0,0.693,5,100,1,24,666,20.2,396.9,30.59,5
10,0,18.1,0,0.693,6,77.8,2,24,666,20.2,338.16,29.97,6.3
25,0,18.1,0,0.693,6,100,2,24,666,20.2,396.9,26.77,5.6
14,0,18.1,0,0.693,6,100,2,24,666,20.2,396.9,20.32,7.2
10,0,18.1,0,0.693,6,100,2,24,666,20.2,376.11,20.31,12.1
25,0,18.1,0,0.693,5,96,2,24,666,20.2,396.9,19.77,8.3
42,0,18.1,0,0.693,6,85.4,2,24,666,20.2,329.46,27.38,8.5
68,0,18.1,0,0.693,6,100,1,24,666,20.2,384.97,22.98,5
21,0,18.1,0,0.659,4,100,1,24,666,20.2,370.22,23.34,11.9
12,0,18.1,0,0.659,6,100,1,24,666,20.2,332.09,12.13,27.9
7,0,18.1,0,0.597,6,97.9,1,24,666,20.2,314.64,26.4,17.2
14,0,18.1,0,0.597,7,100,1,24,666,20.2,179.36,19.78,27.5
51,0,18.1,0,0.597,6,100,1,24,666,20.2,2.6,10.11,15
14,0,18.1,0,0.597,7,100,2,24,666,20.2,35.05,21.22,17.2
19,0,18.1,0,0.597,5,100,2,24,666,20.2,28.79,34.37,17.9
29,0,18.1,0,0.597,5,100,2,24,666,20.2,210.97,20.08,16.3
46,0,18.1,0,0.693,5,100,2,24,666,20.2,88.27,36.98,7
18,0,18.1,0,0.679,6,100,2,24,666,20.2,27.25,29.05,7.2
11,0,18.1,0,0.679,7,90.8,2,24,666,20.2,21.57,25.79,7.5
26,0,18.1,0,0.679,5,89.1,2,24,666,20.2,127.36,26.64,10.4
74,0,18.1,0,0.679,6,100,2,24,666,20.2,16.45,20.62,8.8
12,0,18.1,0,0.718,7,76.5,2,24,666,20.2,48.45,22.74,8.4
11,0,18.1,0,0.718,6,100,2,24,666,20.2,318.75,15.02,16.7
7,0,18.1,0,0.718,6,95.3,2,24,666,20.2,319.98,15.7,14.2
12,0,18.1,0,0.614,6,87.6,2,24,666,20.2,291.55,14.1,20.8
7,0,18.1,0,0.614,6,85.1,2,24,666,20.2,2.52,23.29,13.4
9,0,18.1,0,0.584,6,70.6,2,24,666,20.2,3.65,17.16,11.7
16,0,18.1,0,0.679,6,95.4,2,24,666,20.2,7.68,24.39,8.3
12,0,18.1,0,0.584,6,59.7,2,24,666,20.2,24.65,15.69,10.2
38,0,18.1,0,0.679,6,78.7,2,24,666,20.2,18.82,14.52,10.9
7,0,18.1,0,0.679,6,78.1,2,24,666,20.2,96.73,21.52,11
9,0,18.1,0,0.679,6.38,95.6,2,24,666,20.2,60.72,24.08,9.5
8,0,18.1,0,0.584,6,86.1,2,24,666,20.2,83.45,17.64,14.5
10,0,18.1,0,0.584,7,94.3,2,24,666,20.2,81.33,19.69,14.1
6,0,18.1,0,0.584,6,74.8,2,24,666,20.2,97.95,12.03,16.1
6,0,18.1,0,0.713,6,87.9,2,24,666,20.2,100.19,16.22,14.3
14,0,18.1,0,0.713,6,95,2,24,666,20.2,100.63,15.17,11.7
11,0,18.1,0,0.74,7,94.6,2,24,666,20.2,109.85,23.27,13.4
14,0,18.1,0,0.74,6,93.3,2,24,666,20.2,27.49,18.05,9.6
15,0,18.1,0,0.74,6,100,2,24,666,20.2,9.32,26.45,8.7
14,0,18.1,0,0.74,6,87.9,2,24,666,20.2,68.95,34.02,8.4
9,0,18.1,0,0.74,6,93.9,2,24,666,20.2,396.9,22.88,12.8
22,0,18.1,0,0.74,6,92.4,2,24,666,20.2,391.45,22.11,10.5
10,0,18.1,0,0.74,6,97.2,2,24,666,20.2,385.96,19.52,17.1
6,0,18.1,0,0.74,6,100,2,24,666,20.2,395.69,16.59,18.4
10,0,18.1,0,0.74,6,100,2,24,666,20.2,386.73,18.85,15.4
13,0,18.1,0,0.74,6,96.6,2,24,666,20.2,240.52,23.79,10.8
11,0,18.1,0,0.74,6,94.8,2,24,666,20.2,43.06,23.98,11.8
6,0,18.1,0,0.74,6,96.4,2,24,666,20.2,318.01,17.79,14.9
10,0,18.1,0,0.74,6,96.6,2,24,666,20.2,388.52,16.44,12.6
9,0,18.1,0,0.713,6,98.7,2,24,666,20.2,396.9,18.13,14.1
8,0,18.1,0,0.713,6,98.3,2,24,666,20.2,304.21,19.31,13
7,0,18.1,0,0.713,7,92.6,2,24,666,20.2,0.32,17.44,13.4
5,0,18.1,0,0.713,7,98.2,2,24,666,20.2,355.29,17.73,15.2
5,0,18.1,0,0.713,6,91.8,2,24,666,20.2,385.09,17.27,16.1
8,0,18.1,0,0.713,7,99.3,2,24,666,20.2,375.87,16.74,17.8
10,0,18.1,0,0.713,7,94.1,2,24,666,20.2,6.68,18.71,14.9
5,0,18.1,0,0.713,7,86.5,2,24,666,20.2,50.92,18.13,14.1
5,0,18.1,0,0.713,6,87.9,3,24,666,20.2,10.48,19.01,12.7
8,0,18.1,0,0.713,6,80.3,3,24,666,20.2,3.5,16.94,13.5
8,0,18.1,0,0.713,6,83.7,3,24,666,20.2,272.21,16.23,14.9
7,0,18.1,0,0.713,6,84.4,3,24,666,20.2,396.9,14.7,20
5,0,18.1,0,0.713,7,90,3,24,666,20.2,255.23,16.42,16.4
4,0,18.1,0,0.713,6,88.4,3,24,666,20.2,391.43,14.65,17.7
7,0,18.1,0,0.713,6,83,3,24,666,20.2,396.9,13.99,19.5
6,0,18.1,0,0.713,7,89.9,3,24,666,20.2,393.82,10.29,20.2
8,0,18.1,0,0.655,6,65.4,3,24,666,20.2,396.9,13.22,21.4
3,0,18.1,0,0.655,6,48.2,3,24,666,20.2,334.4,14.13,19.9
4,0,18.1,0,0.655,6,84.7,3,24,666,20.2,22.01,17.15,19
4,0,18.1,0,0.584,6,94.5,3,24,666,20.2,331.29,21.32,19.1
16,0,18.1,0,0.58,6,71,3,24,666,20.2,368.74,18.13,19.1
13,0,18.1,0,0.58,6,56.7,3,24,666,20.2,396.9,14.76,20.1
4,0,18.1,0,0.58,6,84,3,24,666,20.2,396.9,16.29,19.9
4,0,18.1,0,0.532,6,90.7,3,24,666,20.2,395.33,12.87,19.6
4,0,18.1,0,0.58,6,75,3,24,666,20.2,393.37,14.36,23.2
5,0,18.1,0,0.614,6.98,67.6,3,24,666,20.2,374.68,11.66,29.8
8,0,18.1,0,0.584,5,95.4,2,24,666,20.2,352.58,18.14,13.8
6,0,18.1,0,0.584,6,97.4,2,24,666,20.2,302.76,24.1,13.3
5,0,18.1,0,0.614,6,93.6,2,24,666,20.2,396.21,18.68,16.7
15,0,18.1,0,0.614,5,97.3,2,24,666,20.2,349.48,24.91,12
10,0,18.1,0,0.614,6,96.7,2,24,666,20.2,379.7,18.03,14.6
14,0,18.1,0,0.614,6,88,2,24,666,20.2,383.32,13.11,21.4
6,0,18.1,0,0.532,6,64.7,3,24,666,20.2,396.9,10.74,23
6,0,18.1,0,0.532,6.75,74.9,3,24,666,20.2,393.07,7.74,23.7
6,0,18.1,0,0.532,7,77,3,24,666,20.2,395.28,7.01,25
3,0,18.1,0,0.532,6,40.3,4,24,666,20.2,392.92,10.42,21.8
2,0,18.1,0,0.583,6,41.9,4,24,666,20.2,370.73,13.34,20.6
4,0,18.1,0,0.583,6,51.9,4,24,666,20.2,388.62,10.58,21.2
6,0,18.1,0,0.583,6,79.8,4,24,666,20.2,392.68,14.98,19.1
5,0,18.1,0,0.583,6,53.2,3,24,666,20.2,388.22,11.45,20.6
0.15086,0,27.74,0,0.609,5,92.7,2,4,711,20.1,395.09,18.06,15.2
0.18337,0,27.74,0,0.609,5,98.3,2,4,711,20.1,344.05,23.97,7
0.20746,0,27.74,0,0.609,5,98,2,4,711,20.1,318.43,29.68,8.1
0.10574,0,27.74,0,0.609,6,98.8,2,4,711,20.1,390.11,18.07,13.6
0.11132,0,27.74,0,0.609,6,83.5,2,4,711,20.1,396.9,13.35,20.1
0.17331,0,9.69,0,0.585,6,54,2,6,391,19.2,396.9,12.01,21.8
0.27957,0,9.69,0,0.585,6,42.6,2,6,391,19.2,396.9,13.59,24.5
0.17899,0,9.69,0,0.585,5.67,28.8,3,6,391,19.2,393.29,17.6,23.1
0.2896,0,9.69,0,0.585,5.39,72.9,3,6,391,19.2,396.9,21.14,19.7
0.26838,0,9.69,0,0.585,6,70.6,3,6,391,19.2,396.9,14.1,18.3
0.23912,0,9.69,0,0.585,6,65.3,2,6,391,19.2,396.9,12.92,21.2
0.17783,0,9.69,0,0.585,6,73.5,2,6,391,19.2,395.77,15.1,17.5
0.22438,0,9.69,0,0.585,6,79.7,2,6,391,19.2,396.9,14.33,16.8
0.06263,0,11.93,0,0.573,7,69.1,2,1,273,21,391.99,9.67,22.4
0.04527,0,11.93,0,0.573,6.12,76.7,2,1,273,21,396.9,9.08,20.6
0.06076,0,11.93,0,0.573,7,91,2,1,273,21,396.9,5.64,23.9
0.10959,0,11.93,0,0.573,7,89.3,2,1,273,21,393.45,6.48,22
0.04741,0,11.93,0,0.573,6.03,80.8,3,1,273,21,396.9,7.88,11.9
